State,Range,Rate,Number
AL,13.6 to 16.0,15.7,736
AK,13.6 to 16.0,16,122
AZ,18.6 to 21.0,19,"1,274"
AR,13.6 to 16.0,13.8,392
CA,11.1 to 13.5,11.3,"4,659"
CO,13.6 to 16.0,15.4,869
CT,21.0 to 41.5,22.1,800
DE,21.0 to 41.5,22,198
DC,18.6 to 21.0,18.6,125
FL,16.1 to 18.5,16.2,"3,228"
GA,11.1 to 13.5,12.7,"1,302"
HI,11.1 to 13.5,11.3,169
ID,13.6 to 16.0,14.2,218
IL,13.6 to 16.0,14.1,"1,835"
IN,18.6 to 21.0,19.5,"1,245"
IA,6.9 to 11.0,10.3,309
KS,11.1 to 13.5,11.8,329
KY,21.0 to 41.5,29.9,"1,273"
LA,18.6 to 21.0,19,861
ME,21.0 to 41.5,21.2,269
MD,18.6 to 21.0,20.9,"1,285"
MA,21.0 to 41.5,25.7,"1,724"
MI,18.6 to 21.0,20.4,"1,980"
MN,6.9 to 11.0,10.6,581
MS,11.1 to 13.5,12.3,351
MO,16.1 to 18.5,17.9,"1,066"
MT,13.6 to 16.0,13.8,138
NE,6.9 to 11.0,6.9,126
NV,18.6 to 21.0,20.4,619
NH,21.0 to 41.5,34.3,422
NJ,16.1 to 18.5,16.3,"1,454"
NM,21.0 to 41.5,25.3,501
NY,13.6 to 16.0,13.6,"2,754"
NC,13.6 to 16.0,15.8,"1,567"
ND,6.9 to 11.0,8.6,61
OH,21.0 to 41.5,29.9,"3,310"
OK,18.6 to 21.0,19,725
OR,11.1 to 13.5,12,505
PA,21.0 to 41.5,26.3,"3,264"
RI,21.0 to 41.5,28.2,310
SC,13.6 to 16.0,15.7,761
SD,6.9 to 11.0,8.4,65
TN,21.0 to 41.5,22.2,"1,457"
TX,6.9 to 11.0,9.4,"2,588"
UT,21.0 to 41.5,23.4,646
VT,16.1 to 18.5,16.7,99
VA,11.1 to 13.5,12.4,"1,039"
WA,13.6 to 16.0,14.7,"1,094"
WV,21.0 to 41.5,41.5,725
WI,13.6 to 16.0,15.5,878
WY,16.1 to 18.5,16.4,96
