"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	116	4430141	2.6
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	37	4430141	0.8
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"All other drug-induced causes"	"D9"	26	4430141	0.6
	"Alabama"	"01"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	248	4430141	5.6
	"Alabama"	"01"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	44362	4430141	1001.4
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	130	4447100	2.9
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	47	4447100	1.1
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	20	4447100	0.4
	"Alabama"	"01"	"2000"	"2000"	"All other drug-induced causes"	"D9"	35	4447100	0.8
	"Alabama"	"01"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	236	4447100	5.3
	"Alabama"	"01"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	44592	4447100	1002.7
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	166	4467634	3.7
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	36	4467634	0.8
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	13	4467634	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"All other drug-induced causes"	"D9"	37	4467634	0.8
	"Alabama"	"01"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	230	4467634	5.1
	"Alabama"	"01"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	44827	4467634	1003.4
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	171	4480089	3.8
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	28	4480089	0.6
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	12	4480089	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"All other drug-induced causes"	"D9"	37	4480089	0.8
	"Alabama"	"01"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	210	4480089	4.7
	"Alabama"	"01"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	45609	4480089	1018.0
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	155	4503491	3.4
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	21	4503491	0.5
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	21	4503491	0.5
	"Alabama"	"01"	"2003"	"2003"	"All other drug-induced causes"	"D9"	58	4503491	1.3
	"Alabama"	"01"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	217	4503491	4.8
	"Alabama"	"01"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	46243	4503491	1026.8
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	223	4530729	4.9
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	42	4530729	0.9
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	18	4530729	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"All other drug-induced causes"	"D9"	44	4530729	1.0
	"Alabama"	"01"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	246	4530729	5.4
	"Alabama"	"01"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	45544	4530729	1005.2
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	217	4569805	4.7
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	28	4569805	0.6
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	38	4569805	0.8
	"Alabama"	"01"	"2005"	"2005"	"All other drug-induced causes"	"D9"	49	4569805	1.1
	"Alabama"	"01"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	254	4569805	5.6
	"Alabama"	"01"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	46503	4569805	1017.6
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	310	4628981	6.7
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	40	4628981	0.9
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	48	4628981	1.0
	"Alabama"	"01"	"2006"	"2006"	"All other drug-induced causes"	"D9"	68	4628981	1.5
	"Alabama"	"01"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	245	4628981	5.3
	"Alabama"	"01"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	46262	4628981	999.4
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	424	4672840	9.1
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	48	4672840	1.0
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4672840	0.8
	"Alabama"	"01"	"2007"	"2007"	"All other drug-induced causes"	"D9"	43	4672840	0.9
	"Alabama"	"01"	"2007"	"2007"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	4672840	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"All other alcohol-induced causes"	"A9"	237	4672840	5.1
	"Alabama"	"01"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O9"	45888	4672840	982.0
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	485	4718206	10.3
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	47	4718206	1.0
	"Alabama"	"01"	"2008"	"2008"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	75	4718206	1.6
	"Alabama"	"01"	"2008"	"2008"	"All other drug-induced causes"	"D9"	39	4718206	0.8
